[DEBUG] 2019-11-18 18:01:40.493 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-11-18 18:01:40.514 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-11-18 18:01:40.520 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-11-18 18:01:40.711 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-11-18 18:01:40.719 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-11-18 18:01:41.509 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-11-18 18:01:41.516 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-11-18 18:01:41.541 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-11-18 18:01:43.028 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-11-18 18:01:43.114 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-11-18 18:01:43.120 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-11-18 18:01:43.199 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-11-18 18:01:43.301 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7069f076
[DEBUG] 2019-11-18 18:01:43.305 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7069f076
[DEBUG] 2019-11-18 18:01:43.306 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7069f076
[DEBUG] 2019-11-18 18:01:43.311 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1f782c05
[DEBUG] 2019-11-18 18:01:43.311 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@519c6fcc
[DEBUG] 2019-11-18 18:01:43.312 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@100ad67e
[DEBUG] 2019-11-18 18:01:43.317 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@59498d94
[DEBUG] 2019-11-18 18:01:43.319 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@59498d94
[DEBUG] 2019-11-18 18:01:43.319 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@59498d94
[DEBUG] 2019-11-18 18:01:43.321 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2eda4eeb
[DEBUG] 2019-11-18 18:01:43.321 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2eda4eeb
[DEBUG] 2019-11-18 18:01:43.323 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2eda4eeb
[DEBUG] 2019-11-18 18:01:43.329 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2c0c4c0a
[DEBUG] 2019-11-18 18:01:43.329 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2c0c4c0a
[DEBUG] 2019-11-18 18:01:43.329 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2c0c4c0a
[DEBUG] 2019-11-18 18:01:43.332 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@611b35d6
[DEBUG] 2019-11-18 18:01:43.332 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@611b35d6
[DEBUG] 2019-11-18 18:01:43.332 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@611b35d6
[DEBUG] 2019-11-18 18:01:43.333 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@40ce9049
[DEBUG] 2019-11-18 18:01:43.333 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@40ce9049
[DEBUG] 2019-11-18 18:01:43.337 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@40ce9049
[DEBUG] 2019-11-18 18:01:43.337 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@149b4d20
[DEBUG] 2019-11-18 18:01:43.338 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@149b4d20
